Ticker,Nama,Harga_Sekarang,PER,PBV,ROE(%),DER(%),EPS
AADI,N/A,8825.0,5.4200625,19786.994,21.462,22.226,1628.21
ACES,PT Aspirasi Hidup Indonesia Tbk,356.0,8.849117,0.91167736,10.256,15.234,40.23
ADMR,PT Alamtri Minerals Indonesia Tbk,1480.0,11.627907,37000.0,16.939,53.254,127.28
ADRO,PT Alamtri Resources Indonesia Tbk,2540.0,8.257746,14941.177,10.256,19.536,307.59
AKRA,PT AKR Corporindo Tbk,1445.0,10.493065,2.231033,19.524999,33.327,137.71
AMMN,PT Amman Mineral Internasional Tbk,4040.0,27.777777,53157.895,10.484,116.552,145.44
AMRT,PT Sumber Alfaria Trijaya Tbk,1375.0,16.206978,3.0570364,19.111,13.591,84.84
ANTM,PT Antam (Persero) Tbk,2990.0,8.467377,1.8496146,24.687,21.609,353.12
ARCI,PT Archi Indonesia Tbk,1055.0,12.005007,65937.5,36.150002,123.001,87.88
ARTO,PT Bank Jago Tbk,1250.0,52.345062,1.9631555,3.447,,23.88
ASII,PT Astra International Tbk,4980.0,6.345162,0.8571641,13.245000000000001,39.859,784.85
BBCA,PT Bank Central Asia Tbk,6275.0,13.31565,2.9755006,22.972,,471.25
BBNI,PT Bank Negara Indonesia (Persero) Tbk,3520.0,6.4599004,0.8135198,12.029,,544.9
BBRI,PT Bank Rakyat Indonesia (Persero) Tbk,2960.0,7.6104283,1.317851,18.135998999999998,,388.94
BBTN,PT Bank Tabungan Negara (Persero) Tbk,1205.0,4.043624,0.46703616,10.541,,298.0
BBYB,PT Bank Neo Commerce Tbk,244.0,6.1122246,0.7567112,13.502,,39.92
BKSL,PT Sentul City Tbk,69.0,13.398058,0.75765896,5.546,23.388,5.15
BMRI,PT Bank Mandiri (Persero) Tbk,4130.0,6.5876575,1.2627695,21.968001,,626.93
BREN,PT Barito Renewables Energy Tbk,3550.0,188.62912,710000.0,20.444000000000003,221.044,18.82
BRIS,PT Bank Syariah Indonesia Tbk,1845.0,10.787581,1.6763812,16.150999,,171.03
BRMS,PT Bumi Resources Minerals Tbk,585.0,88.502266,65000.004,5.144,24.526,6.61
BRPT,PT Barito Pacific Tbk,1745.0,16.129032,69800.0,34.817,133.907,108.19
BSDE,PT Bumi Serpong Damai Tbk,575.0,4.777732,0.2711003,5.5430003,33.05,120.35
BTPS,PT Bank BTPN Syariah Tbk,1005.0,6.4020896,0.75326097,12.149999000000001,,156.98
BUKA,PT Bukalapak.com Tbk.,115.0,4.435017,0.42811725,10.815,0.456,25.93
BULL,PT Buana Lintas Lautan Tbk,438.0,12.210761,31285.713,16.995001000000002,58.609,35.87
BUMI,PT Bumi Resources Tbk,171.0,39.675175,42749.996,4.587,19.97,4.31
BUVA,PT Bukit Uluwatu Villa Tbk,845.0,1111.8422,10.187105,1.1900000000000002,22.738,0.76
CBDK,N/A,3620.0,11.520591,2.1544092,15.897,1.876,314.22
CMRY,PT Cisarua Mountain Dairy Tbk,4580.0,17.241379,4.951362,28.933999999999997,0.006,265.64
CPIN,PT Charoen Pokphand Indonesia Tbk,3230.0,7.9365077,1.4425594,19.496,18.068,406.98
CTRA,PT Ciputra Development Tbk,570.0,4.1911764,0.42971033,10.2290004,28.661,136.0
CUAN,PT Petrindo Jaya Kreasi Tbk,700.0,32.57329,233333.33,25.985999999999997,240.953,21.49
DEWA,PT Darma Henwa Tbk,442.0,3.9478385,2.2830343,68.30100399999999,55.993,111.96
DSNG,PT Dharma Satya Nusantara Tbk,1310.0,7.29927,1.1657729,16.868,32.12,179.47
DSSA,PT Dian Swastatika Sentosa Tbk,870.0,34.606205,72500.0,15.553,67.404,25.14
ELSA,PT Elnusa Tbk,665.0,6.729407,0.88211495,13.618,9.986,98.82
EMTK,PT Elang Mahkota Teknologi Tbk,515.0,11.161682,0.8540928,9.003,4.509,46.14
ENRG,PT Energi Mega Persada Tbk,1450.0,26.807173,41428.57,12.128,50.819,54.09
ERAA,PT Erajaya Swasembada Tbk,398.0,4.345927,0.6520218,15.758,98.549,91.58
ESSA,PT ESSA Industries Indonesia Tbk.,640.0,12.07775,23703.703,12.1120006,0.022,52.99
EXCL,PT XLSMART Telecom Sejahtera Tbk,2410.0,,1.5050647,-20.136999,209.04,-336.92
FILM,PT.MD Entertainment Tbk,1060.0,,3.7033026,-9.716,12.22,-22.9
GOTO,PT GoTo Gojek Tokopedia Tbk,50.0,,1.6553551,-3.2910000000000004,27.754,-0.61
HEAL,PT Medikaloka Hermina Tbk,820.0,30.769232,2.1972191,7.8340000000000005,48.057,26.65
HMSP,PT Hanjaya Mandala Sampoerna Tbk,720.0,12.209598,2.7524617,22.225,1.217,58.97
HRTA,PT Hartadinata Abadi Tbk,1920.0,7.0026994,2.4199798,40.999,112.147,274.18
HRUM,PT Harum Energy Tbk,810.0,14.57621,11408.45,3.585,33.731,55.57
ICBP,PT Indofood CBP Sukses Makmur Tbk,6975.0,8.896797,1.489907,14.631,62.219,783.99
IMPC,PT Impack Pratama Industri Tbk,1465.0,119.008934,26.858559,24.338,33.143,12.31
INCO,PT Vale Indonesia Tbk,4870.0,29.499062,18239.701,3.511,0.103,165.09
INDF,PT Indofood Sukses Makmur Tbk,6850.0,5.506608,0.7779241,13.319,61.085,1243.96
INDY,PT. Indika Energy Tbk,2470.0,68.955894,10739.13,2.249,82.305,35.82
INET,PT Sinergi Inti Andalan Prima Tbk,230.0,97.872345,1.4148012,1.9029999999999998,41.029,2.35
