Ticker,Nama,Harga_Sekarang,Harga_Wajar_Graham,Margin_of_Safety(%),Rekomendasi_Akhir
CTRA,PT Ciputra Development Tbk,570.0,2014.6993395749132,71.70793731831641,STRONG BUY (Diskon >20%)
BUKA,PT Bukalapak.com Tbk.,115.0,395.8768209749264,70.95055989466891,STRONG BUY (Diskon >20%)
KIJA,PT Kawasan Industri Jababeka Tbk,129.0,381.22098023610897,66.16135871637915,STRONG BUY (Diskon >20%)
ERAA,PT Erajaya Swasembada Tbk,398.0,1121.507175287348,64.51204158386004,STRONG BUY (Diskon >20%)
PWON,PT Pakuwon Jati Tbk,270.0,734.6729321837029,63.24895226540247,STRONG BUY (Diskon >20%)
INDF,PT Indofood Sukses Makmur Tbk,6850.0,15698.96927889853,56.366562171649726,STRONG BUY (Diskon >20%)
TOWR,PT Sarana Menara Nusantara Tbk.,402.0,848.0235461379821,52.595655883523015,STRONG BUY (Diskon >20%)
ASII,PT Astra International Tbk,4980.0,10129.016415970773,50.83431800793746,STRONG BUY (Diskon >20%)
JPFA,PT Japfa Comfeed Indonesia Tbk,2130.0,4186.285473623482,49.119571194547405,STRONG BUY (Diskon >20%)
ELSA,PT Elnusa Tbk,665.0,1294.678438131716,48.63589441099928,STRONG BUY (Diskon >20%)
NCKL,PT Trimegah Bangun Persada Tbk,850.0,1539.7928602033908,44.79776975406135,STRONG BUY (Diskon >20%)
UNTR,PT United Tractors Tbk,25500.0,45236.64030881348,43.62976599075192,STRONG BUY (Diskon >20%)
ACES,PT Aspirasi Hidup Indonesia Tbk,356.0,594.5257772441835,40.12034235922057,STRONG BUY (Diskon >20%)
DSNG,PT Dharma Satya Nusantara Tbk,1310.0,2130.17783102732,38.50278690731528,STRONG BUY (Diskon >20%)
DEWA,PT Darma Henwa Tbk,442.0,698.357208722209,36.708607789882805,STRONG BUY (Diskon >20%)
PTBA,PT Bukit Asam (Persero) Tbk,2390.0,3651.263988481128,34.5432155127681,STRONG BUY (Diskon >20%)
CPIN,PT Charoen Pokphand Indonesia Tbk,3230.0,4528.060297027261,28.667027642707342,STRONG BUY (Diskon >20%)
KLBF,PT Kalbe Farma Tbk.,720.0,981.2855868878972,26.626864837233843,STRONG BUY (Diskon >20%)
ICBP,PT Indofood CBP Sukses Makmur Tbk,6975.0,9087.387476915224,23.24526694037577,STRONG BUY (Diskon >20%)
ANTM,PT Antam (Persero) Tbk,2990.0,3583.8299017527074,16.569701074883298,HOLD / ACCUMULATE
HRTA,PT Hartadinata Abadi Tbk,1920.0,2212.350276838446,13.214466077054873,HOLD / ACCUMULATE
MAPA,PT Map Aktif Adiperkasa Tbk,605.0,685.2674466786997,11.713302166582352,HOLD / ACCUMULATE
MAPI,PT. Mitra Adiperkasa Tbk,1520.0,1685.3562439591524,9.81135261769381,HOLD / ACCUMULATE
ISAT,PT Indosat Tbk,1950.0,2157.679360451254,9.625126154417137,HOLD / ACCUMULATE
WIFI,PT Solusi Sinergi Digital Tbk,1940.0,1955.3698799573924,0.7860344027457007,HOLD / ACCUMULATE
