Ticker,Nama,Harga_Sekarang,Harga_Wajar_Graham,Margin_of_Safety(%),PER,PBV,ROE(%),DER(%)
CTRA,PT Ciputra Development Tbk,570.0,2014.6993395749134,71.70793731831641,4.1911764,0.42971033,10.2290004,28.661
BUKA,PT Bukalapak.com Tbk.,115.0,395.87682097492643,70.95055989466891,4.435017,0.42811725,10.815,0.456
KIJA,PT Kawasan Industri Jababeka Tbk,129.0,381.22098023610897,66.16135871637915,6.070588,0.42440215,10.227,55.543
ERAA,PT Erajaya Swasembada Tbk,398.0,1121.507175287348,64.51204158386004,4.345927,0.6520218,15.758,98.549
PWON,PT Pakuwon Jati Tbk,270.0,734.6729321837029,63.24895226540247,5.3391337,0.569182,11.0240005,20.976
INDF,PT Indofood Sukses Makmur Tbk,6850.0,15698.96927889853,56.366562171649726,5.506608,0.7779241,13.319,61.085
TOWR,PT Sarana Menara Nusantara Tbk.,402.0,848.0235461379821,52.595655883523015,5.827776,0.8675928,16.016,162.985
ASII,PT Astra International Tbk,4980.0,10129.016415970773,50.83431800793746,6.345162,0.8571641,13.245,39.859
JPFA,PT Japfa Comfeed Indonesia Tbk,2130.0,4186.285473623482,49.119571194547405,4.830918,1.205742,27.829,37.268
ELSA,PT Elnusa Tbk,665.0,1294.678438131716,48.63589441099928,6.729407,0.88211495,13.618,9.986
NCKL,PT Trimegah Bangun Persada Tbk,850.0,1539.7928602033908,44.79776975406135,5.353319,1.2807744,25.955,18.032
UNTR,PT United Tractors Tbk,25500.0,45236.640308813476,43.62976599075192,7.5357947,0.9487529,12.315,25.751
ACES,PT Aspirasi Hidup Indonesia Tbk,356.0,594.5257772441835,40.12034235922057,8.849117,0.91167736,10.256,15.234
DSNG,PT Dharma Satya Nusantara Tbk,1310.0,2130.1778310273194,38.50278690731528,7.29927,1.1657729,16.868,32.12
DEWA,PT Darma Henwa Tbk,442.0,698.357208722209,36.708607789882805,3.9478385,2.2830343,68.30100399999999,55.993
PTBA,PT Bukit Asam (Persero) Tbk,2390.0,3651.2639884811283,34.5432155127681,8.2439375,1.169384,14.413999,11.489
CPIN,PT Charoen Pokphand Indonesia Tbk,3230.0,4528.060297027261,28.667027642707342,7.9365077,1.4425594,19.496,18.068
KLBF,PT Kalbe Farma Tbk.,720.0,981.2855868878972,26.626864837233843,9.033877,1.3408571,14.43,1.187
ICBP,PT Indofood CBP Sukses Makmur Tbk,6975.0,9087.387476915223,23.245266940375775,8.896797,1.489907,14.631,62.219
ANTM,PT Antam (Persero) Tbk,2990.0,3583.8299017527074,16.569701074883298,8.467377,1.8496146,24.687,21.609
HRTA,PT Hartadinata Abadi Tbk,1920.0,2212.350276838446,13.214466077054873,7.0026994,2.4199798,40.999,112.147
MAPA,PT Map Aktif Adiperkasa Tbk,605.0,685.2674466786997,11.713302166582352,9.310556,1.8836378,21.84,20.462
MAPI,PT. Mitra Adiperkasa Tbk,1520.0,1685.3562439591524,9.81135261769381,10.627141,1.7221454,17.544999999999998,46.96
ISAT,PT Indosat Tbk,1950.0,2157.679360451254,9.625126154417137,11.049411,1.6631783,15.026,133.421
WIFI,PT Solusi Sinergi Digital Tbk,1940.0,1955.3698799573924,0.7860344027457007,16.05163,1.3797773,16.141,67.37
